date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:37	1003/1003	---MCZ	200	added ('OK')	text/css	etag:W/%2203d666e0fa14a395029971d586e3a785%22	https://www.movingon.finance/assets/owlcarousel/css/owl.theme.default.min.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/owlcarousel/css/owl.theme.default.min.css	(from https://www.movingon.finance/)
00:56:37	17475/17475	---MCZ	200	added ('OK')	text/css	etag:W/%2208b9138e5fd1921a5dc7f1c57a22fc20%22	https://www.movingon.finance/assets/css/swiper.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/swiper.css	(from https://www.movingon.finance/)
00:56:37	23848/23848	---MCZ	200	added ('OK')	text/css	etag:W/%2257db4a2811f951ff841fb4f77220d95b%22	https://www.movingon.finance/assets/css/animate.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/animate.css	(from https://www.movingon.finance/)
00:56:37	3152/3152	---MCZ	200	added ('OK')	text/css	etag:W/%22509dbb86d05e02dcfc1018d6cfee6dfa%22	https://www.movingon.finance/assets/css/odometer.min.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/odometer.min.css	(from https://www.movingon.finance/)
00:56:38	60164/60164	---MCZ	200	added ('OK')	text/css	etag:W/%22a58b1803a79fe6f38178e5e1423c995e%22	https://www.movingon.finance/assets/css/style.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/style.css	(from https://www.movingon.finance/)
00:56:38	4345/4345	---MCZ	200	added ('OK')	text/css	etag:W/%2246bb9dd577769124db2486e3308e7c04%22	https://www.movingon.finance/assets/css/responsive.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/responsive.css	(from https://www.movingon.finance/)
00:56:38	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20May%202022%2017:56:38%20GMT	https://www.movingon.finance/index2.html	C:/My%20Web%20Sites/movingon/www.movingon.finance/index2.html	(from https://www.movingon.finance/)
00:56:38	122328/122328	---M--	200	added ('OK')	image/png	etag:%22d435b0a0b0f3edd131eb891b26a26603%22	https://www.movingon.finance/assets/img/home/rugfreecoins.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/rugfreecoins.png	(from https://www.movingon.finance/)
00:56:39	18558/18558	---M--	200	added ('OK')	image/png	etag:%22b20e9f2f51f208646eab7f65cd224fba%22	https://www.movingon.finance/assets/img/home/safuaudit.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/safuaudit.png	(from https://www.movingon.finance/)
00:56:39	311901/311901	---M--	200	added ('OK')	image/png	etag:%22c690246bf54a5ea92c0ea3958dddfd68%22	https://www.movingon.finance/assets/img/home/bg.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/bg.png	(from https://www.movingon.finance/)
00:56:39	2946/2946	---M--	200	added ('OK')	image/png	etag:%223564db45340bd1e820652d64d47da27d%22	https://www.movingon.finance/assets/img/shape/shape2.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/shape/shape2.png	(from https://www.movingon.finance/)
00:56:39	102468/102468	---M--	200	added ('OK')	image/png	etag:%222a3dc749423429e2864767393243dd03%22	https://www.movingon.finance/assets/img/home/features.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/features.png	(from https://www.movingon.finance/)
00:56:39	7657/7657	---M--	200	added ('OK')	image/png	etag:%22747bc8cc2a6afed78162e8f1ef39cacb%22	https://www.movingon.finance/assets/img/features/Drive-To-Earn.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/features/Drive-To-Earn.png	(from https://www.movingon.finance/)
00:56:40	8720/8720	---M--	200	added ('OK')	image/png	etag:%227a0d87ff96a743acfcf0cf82f8fd9abd%22	https://www.movingon.finance/assets/img/features/Move-To-Earn.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/features/Move-To-Earn.png	(from https://www.movingon.finance/)
00:56:40	11909/11909	---M--	200	added ('OK')	image/png	etag:%2207880f5d6d6aac944f73f59307a0b2d4%22	https://www.movingon.finance/assets/img/features/NFT.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/features/NFT.png	(from https://www.movingon.finance/)
00:56:40	14645/14645	---M--	200	added ('OK')	image/png	etag:%22553301fec52fa6191c30bf23092abf5b%22	https://www.movingon.finance/assets/img/features/Staking.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/features/Staking.png	(from https://www.movingon.finance/)
00:56:40	3336/3336	---M--	200	added ('OK')	image/png	etag:%22ff772f5dea83998eafa2b37cad677811%22	https://www.movingon.finance/assets/img/shape/shape1.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/shape/shape1.png	(from https://www.movingon.finance/)
00:56:40	88307/88307	---M--	200	added ('OK')	image/png	etag:%220e50d7f99b1e2ebde50c9f06421ec5b7%22	https://www.movingon.finance/assets/img/home/running.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/running.png	(from https://www.movingon.finance/)
00:56:41	8260/8260	---M--	200	added ('OK')	image/png	etag:%22bbb04f2bc197a6d9db44a4e15307586d%22	https://www.movingon.finance/assets/img/activities/walking.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/activities/walking.png	(from https://www.movingon.finance/)
00:56:41	5464/5464	---M--	200	added ('OK')	image/png	etag:%22c12ca14bfff521e0b81c7068a7d3c18e%22	https://www.movingon.finance/assets/img/activities/driving.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/activities/driving.png	(from https://www.movingon.finance/)
00:56:41	58361/58361	---M--	200	added ('OK')	image/png	etag:%220991bee879cccffd4ec4dd5d2e395581%22	https://www.movingon.finance/assets/img/activities/app.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/activities/app.png	(from https://www.movingon.finance/)
00:56:41	6734/6734	---M--	200	added ('OK')	image/png	etag:%22e53c397a1ea13159d958376bb98580ff%22	https://www.movingon.finance/assets/img/activities/running.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/activities/running.png	(from https://www.movingon.finance/)
00:56:42	10597/10597	---M--	200	added ('OK')	image/png	etag:%221691f809453ff7026b480b9c8a4c96a2%22	https://www.movingon.finance/assets/img/activities/cycling.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/activities/cycling.png	(from https://www.movingon.finance/)
00:56:42	79950/79950	---M--	200	added ('OK')	image/png	etag:%2264dc72c4723fd75fa32bd0205812c1da%22	https://www.movingon.finance/assets/img/slider/1.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/1.png	(from https://www.movingon.finance/)
00:56:42	37729/37729	---M--	200	added ('OK')	image/png	etag:%22493f739823a81b4ff0f2d5778f79ce09%22	https://www.movingon.finance/assets/img/slider/2.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/2.png	(from https://www.movingon.finance/)
00:56:42	50558/50558	---M--	200	added ('OK')	image/png	etag:%22a136a1dcb1933f442f62da839fbe30bf%22	https://www.movingon.finance/assets/img/slider/3.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/3.png	(from https://www.movingon.finance/)
00:56:43	56894/56894	---M--	200	added ('OK')	image/png	etag:%2211130ce531758134c0f783dd8947a735%22	https://www.movingon.finance/assets/img/slider/4.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/4.png	(from https://www.movingon.finance/)
00:56:43	59703/59703	---M--	200	added ('OK')	image/png	etag:%22967e2496c0059489cce38c31f8a8dbf4%22	https://www.movingon.finance/assets/img/slider/5.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/5.png	(from https://www.movingon.finance/)
00:56:43	43637/43637	---M--	200	added ('OK')	image/png	etag:%2268ff4434f2aa18c3f39424ce197325ea%22	https://www.movingon.finance/assets/img/slider/6.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/6.png	(from https://www.movingon.finance/)
00:56:43	34993/34993	---M--	200	added ('OK')	image/png	etag:%225fc536bcc420ba8eaca286be742c3205%22	https://www.movingon.finance/assets/img/slider/7.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/7.png	(from https://www.movingon.finance/)
00:56:43	68918/68918	---M--	200	added ('OK')	image/png	etag:%225b6ccfb775e8db4f479aa8455c5dc33f%22	https://www.movingon.finance/assets/img/slider/8.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/8.png	(from https://www.movingon.finance/)
00:56:44	125066/125066	---M--	200	added ('OK')	image/png	etag:%22e3d396ae2069583dfca08175485118c9%22	https://www.movingon.finance/assets/img/slider/9.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/slider/9.png	(from https://www.movingon.finance/)
00:56:44	4936/4936	---M--	200	added ('OK')	image/png	etag:%22e3050db66fb1cdddad19064387053dcb%22	https://www.movingon.finance/assets/img/shape/shape3.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/shape/shape3.png	(from https://www.movingon.finance/)
00:56:44	11366/11366	---M--	200	added ('OK')	image/png	etag:%22e7ae8680c6e4fa85dc4c2180d09f5983%22	https://www.movingon.finance/assets/img/home/yahoo_finance_en-US_h_p_financev2_2.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/yahoo_finance_en-US_h_p_financev2_2.png	(from https://www.movingon.finance/)
00:56:44	3114/3114	---M--	200	added ('OK')	image/png	etag:%22b91a06568ab6ef50775ff29988007d9c%22	https://www.movingon.finance/assets/img/home/yahoo_news_en-US_h_p_newsv2_2.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/yahoo_news_en-US_h_p_newsv2_2.png	(from https://www.movingon.finance/)
00:56:45	4730/4730	---M--	200	added ('OK')	image/png	etag:%2251001837ecf27e9d479f399641057c90%22	https://www.movingon.finance/assets/img/home/TechBullionLogo-3.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/TechBullionLogo-3.png	(from https://www.movingon.finance/)
00:56:45	12039/12039	---M--	200	added ('OK')	image/png	etag:%228db887647916a71c24626b2aa1f7bed3%22	https://www.movingon.finance/assets/img/home/v21_logo@2x.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/v21_logo@2x.png	(from https://www.movingon.finance/)
00:56:45	8752/8752	---M--	200	added ('OK')	image/png	etag:%2279fdb8c25316c45ce4366334ae4f57b0%22	https://www.movingon.finance/assets/img/home/logo_top.79fdb8c2.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/home/logo_top.79fdb8c2.png	(from https://www.movingon.finance/)
00:56:45	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f252523d4af0b478c810c2547a63e19%22	https://www.movingon.finance/assets/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/jquery-1.12.4.min.js	(from https://www.movingon.finance/)
00:56:45	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/movingon/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.movingon.finance/)
00:56:46	9226/9226	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6c353b0df611eade595734940bd3fca%22	https://www.movingon.finance/assets/js/modernizr.custom.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/modernizr.custom.js	(from https://www.movingon.finance/)
00:56:46	40402/40402	---MCZ	200	added ('OK')	application/javascript	etag:W/%22db4c9c39a3af9343842156df81f25d08%22	https://www.movingon.finance/assets/owlcarousel/js/owl.carousel.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/owlcarousel/js/owl.carousel.min.js	(from https://www.movingon.finance/)
00:56:46	10096/10096	---MCZ	200	added ('OK')	application/javascript	etag:W/%22695760384bc57822036b3ee819867309%22	https://www.movingon.finance/assets/js/tilt.jquery.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/tilt.jquery.js	(from https://www.movingon.finance/)
00:56:46	20134/20134	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217d70d6f2f468410e04b8811a73753ca%22	https://www.movingon.finance/assets/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/jquery.magnific-popup.js	(from https://www.movingon.finance/)
00:56:47	4872/4872	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ed3e2470682b243ac74dd5363a2b14b%22	https://www.movingon.finance/assets/js/jquery.counterup.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/jquery.counterup.js	(from https://www.movingon.finance/)
00:56:47	8840/8840	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a1e677636cf89490386c16a0bc769d48%22	https://www.movingon.finance/assets/js/waypoints.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/waypoints.min.js	(from https://www.movingon.finance/)
00:56:47	10266/10266	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fddb085e2c867341925735a3699ee8b8%22	https://www.movingon.finance/assets/js/odometer.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/odometer.min.js	(from https://www.movingon.finance/)
00:56:47	1848/1848	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a3d1af1dd772fc10efdf3a64b26f3bd%22	https://www.movingon.finance/assets/js/jquery.appear.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/jquery.appear.min.js	(from https://www.movingon.finance/)
00:56:47	2319/2319	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea98d7256d3be26785b1fc0bfca92eb6%22	https://www.movingon.finance/assets/js/easing.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/easing.min.js	(from https://www.movingon.finance/)
00:56:48	8418/8418	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226c59121499fc81e65176e9c82771d7e%22	https://www.movingon.finance/assets/js/wow.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/wow.min.js	(from https://www.movingon.finance/)
00:56:48	96102/96102	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244ac942503a6d0f062f832ccc760dd84%22	https://www.movingon.finance/assets/js/swiper.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/swiper.js	(from https://www.movingon.finance/)
00:56:48	2397/2397	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275147d09187077c9b891fb745e0ed3b5%22	https://www.movingon.finance/assets/js/ajaxchimp.min.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/ajaxchimp.min.js	(from https://www.movingon.finance/)
00:56:48	38091/38091	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fdb55f410e0b422c655826513c2e012d%22	https://www.movingon.finance/assets/js/form-contact.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/form-contact.js	(from https://www.movingon.finance/)
00:56:49	6345/6345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f8e4110d809f1cebd8138a5bc88e6230%22	https://www.movingon.finance/assets/js/main.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/main.js	(from https://www.movingon.finance/)
00:56:49	1751/1751	---M-Z	200	added ('OK')	application/javascript	etag:%22Fr6X7XdryHtzSokcSnPhZuR2cYZ-.gz%22	https://cdn.bootcss.com/js-cookie/latest/js.cookie.min.js	C:/My%20Web%20Sites/movingon/cdn.bootcss.com/js-cookie/latest/js.cookie.min.js_;%20filename_=utf-8''js.cookie.min.js	(from https://www.movingon.finance/)
00:56:49	2995/2995	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212f84ec20c022892878da219ec04bae8%22	https://www.movingon.finance/assets/js/jquery.i18n.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/jquery.i18n.js	(from https://www.movingon.finance/)
00:56:50	1421/1421	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cae8b913c15d50d827fa5308b6d18e7%22	https://www.movingon.finance/assets/js/language.js	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/js/language.js	(from https://www.movingon.finance/)
